seq,receive_time_ms,send_timestamp_ms,delay_ms,jitter_ms,cumulative_loss,payload_bytes
1629,1785044607557,1785044607557,0,0.496,0,40
1630,1785044607558,1785044607557,1,0.528,0,40
1631,1785044607558,1785044607558,0,0.557,0,40
1632,1785044607558,1785044607558,0,0.522,0,40
1633,1785044607559,1785044607558,1,0.552,0,40
1634,1785044607559,1785044607559,0,0.580,0,40
1635,1785044607686,1785044607686,0,0.544,0,40
1636,1785044607687,1785044607686,1,0.572,0,40
1637,1785044607688,1785044607687,1,0.537,0,40
1638,1785044607688,1785044607687,1,0.503,0,40
1639,1785044607688,1785044607688,0,0.534,0,40
1640,1785044607694,1785044607688,6,0.876,0,40
1641,1785044607694,1785044607688,6,0.821,0,40
1642,1785044607694,1785044607689,5,0.832,0,40
1643,1785044607695,1785044607689,6,0.843,0,40
1644,1785044607695,1785044607689,6,0.790,0,40
1645,1785044607695,1785044607689,6,0.741,0,40
1646,1785044607695,1785044607689,6,0.694,0,40
1647,1785044607696,1785044607689,7,0.713,0,40
1648,1785044607816,1785044607815,1,1.044,0,40
1649,1785044607816,1785044607815,1,0.979,0,40
1650,1785044607817,1785044607815,2,0.980,0,40
1651,1785044607817,1785044607816,1,0.981,0,40
1652,1785044607817,1785044607816,1,0.920,0,40
1653,1785044607817,1785044607816,1,0.862,0,40
1654,1785044607817,1785044607816,1,0.808,0,40
1655,1785044607817,1785044607817,0,0.820,0,40
1656,1785044607817,1785044607817,0,0.769,0,40
1657,1785044607817,1785044607817,0,0.721,0,40
1658,1785044607817,1785044607817,0,0.676,0,40
1659,1785044607819,1785044607817,2,0.759,0,40
1660,1785044607944,1785044607943,1,0.774,0,40
1661,1785044607945,1785044607943,2,0.788,0,40
1662,1785044607945,1785044607944,1,0.801,0,40
1663,1785044607945,1785044607944,1,0.751,0,40
1664,1785044607945,1785044607944,1,0.704,0,40
1665,1785044607946,1785044607945,1,0.660,0,40
1666,1785044607946,1785044607945,1,0.619,0,40
1667,1785044607946,1785044607945,1,0.580,0,40
1668,1785044607946,1785044607945,1,0.544,0,40
1669,1785044607946,1785044607945,1,0.510,0,40
1670,1785044607946,1785044607946,0,0.541,0,40
1671,1785044607947,1785044607946,1,0.569,0,40
1672,1785044607947,1785044607946,1,0.534,0,40
1673,1785044608072,1785044608071,1,0.500,0,40
1674,1785044608072,1785044608071,1,0.469,0,40
