seq,receive_time_ms,send_timestamp_ms,delay_ms,jitter_ms,cumulative_loss,payload_bytes
2590,1785284646078,1785284646077,1,0.426,0,40
2591,1785284646078,1785284646077,1,0.400,0,40
2592,1785284646078,1785284646077,1,0.375,0,40
2593,1785284646202,1785284646202,0,0.414,0,40
2594,1785284646203,1785284646202,1,0.450,0,40
2595,1785284646203,1785284646202,1,0.422,0,40
2596,1785284646203,1785284646203,0,0.458,0,40
2597,1785284646203,1785284646203,0,0.430,0,40
2598,1785284646203,1785284646203,0,0.403,0,40
2599,1785284646204,1785284646204,0,0.378,0,40
2600,1785284646204,1785284646204,0,0.354,0,40
2601,1785284646204,1785284646204,0,0.332,0,40
2602,1785284646204,1785284646204,0,0.311,0,40
2603,1785284646204,1785284646204,0,0.292,0,40
2604,1785284646204,1785284646204,0,0.273,0,40
2605,1785284646206,1785284646204,2,0.381,0,40
2606,1785284646206,1785284646206,0,0.483,0,40
2607,1785284646206,1785284646206,0,0.452,0,40
2608,1785284646207,1785284646206,1,0.487,0,40
2609,1785284646332,1785284646332,0,0.519,0,40
2610,1785284646334,1785284646332,2,0.611,0,40
2611,1785284646335,1785284646332,3,0.636,0,40
2612,1785284646335,1785284646332,3,0.596,0,40
2613,1785284646335,1785284646332,3,0.559,0,40
2614,1785284646335,1785284646334,1,0.649,0,40
2615,1785284646336,1785284646334,2,0.671,0,40
2616,1785284646336,1785284646334,2,0.629,0,40
2617,1785284646337,1785284646334,3,0.652,0,40
2618,1785284646459,1785284646459,0,0.799,0,40
2619,1785284646460,1785284646459,1,0.811,0,40
2620,1785284646460,1785284646459,1,0.761,0,40
2621,1785284646460,1785284646459,1,0.713,0,40
2622,1785284646464,1785284646459,5,0.918,0,40
2623,1785284646466,1785284646459,7,0.986,0,40
2624,1785284646466,1785284646460,6,0.987,0,40
2625,1785284646466,1785284646460,6,0.925,0,40
2626,1785284646466,1785284646460,6,0.867,0,40
2627,1785284646466,1785284646460,6,0.813,0,40
2628,1785284646466,1785284646461,5,0.825,0,40
2629,1785284646466,1785284646461,5,0.773,0,40
2630,1785284646466,1785284646461,5,0.725,0,40
2631,1785284646466,1785284646461,5,0.680,0,40
2632,1785284646466,1785284646461,5,0.637,0,40
2633,1785284646466,1785284646462,4,0.660,0,40
2634,1785284646588,1785284646588,0,0.869,0,40
2635,1785284646589,1785284646588,1,0.877,0,40
2636,1785284646589,1785284646589,0,0.885,0,40
2637,1785284646590,1785284646590,0,0.829,0,40
2638,1785284646591,1785284646590,1,0.840,0,40
2639,1785284646591,1785284646591,0,0.850,0,40
2640,1785284646591,1785284646591,0,0.797,0,40
2641,1785284646592,1785284646591,1,0.810,0,40
2642,1785284646592,1785284646591,1,0.759,0,40
2643,1785284646592,1785284646592,0,0.774,0,40
2644,1785284646592,1785284646592,0,0.726,0,40
2645,1785284646592,1785284646592,0,0.680,0,40
2646,1785284646718,1785284646718,0,0.638,0,40
2647,1785284646718,1785284646718,0,0.598,0,40
2648,1785284646718,1785284646718,0,0.561,0,40
2649,1785284646718,1785284646718,0,0.525,0,40
2650,1785284646719,1785284646718,1,0.555,0,40
2651,1785284646719,1785284646719,0,0.583,0,40
2652,1785284646719,1785284646719,0,0.547,0,40
2653,1785284646719,1785284646719,0,0.512,0,40
2654,1785284646719,1785284646719,0,0.480,0,40
2655,1785284646719,1785284646719,0,0.450,0,40
2656,1785284646720,1785284646719,1,0.485,0,40
2657,1785284646720,1785284646719,1,0.454,0,40
2658,1785284646720,1785284646720,0,0.488,0,40
2659,1785284646847,1785284646846,1,0.520,0,40
2660,1785284646847,1785284646846,1,0.488,0,40
2661,1785284646847,1785284646846,1,0.457,0,40
2662,1785284646847,1785284646846,1,0.429,0,40
2663,1785284646847,1785284646846,1,0.402,0,40
2664,1785284646847,1785284646846,1,0.377,0,40
2665,1785284646847,1785284646847,0,0.416,0,40
2666,1785284646847,1785284646847,0,0.390,0,40
2667,1785284646847,1785284646847,0,0.365,0,40
2668,1785284646847,1785284646847,0,0.343,0,40
2669,1785284646847,1785284646847,0,0.321,0,40
2670,1785284646847,1785284646847,0,0.301,0,40
2671,1785284646972,1785284646972,0,0.282,0,40
2672,1785284646973,1785284646972,1,0.327,0,40
2673,1785284646973,1785284646973,0,0.369,0,40
2674,1785284646974,1785284646973,1,0.409,0,40
2675,1785284646974,1785284646973,1,0.383,0,40
2676,1785284646974,1785284646973,1,0.359,0,40
2677,1785284646974,1785284646973,1,0.337,0,40
